Country,one_way_ticket_local
Switzerland,5.38
Norway,5.14
Netherlands,4.99
Iceland,4.9
Denmark,4.73
Sweden,4.53
Finland,4.48
Germany,4.26
United Kingdom,4.14
Australia,4.03
Belgium,3.67
Austria,3.67
United States,3.34
Canada,3.25
Ireland,3.23
New Zealand,2.9
United Arab Emirates,2.73
Portugal,2.49
France,2.49
Spain,2.2
Estonia,2.2
Cyprus,2.2
Italy,2.2
Malta,2.2
Japan,2.19
Israel,2.15
Hong Kong (China),2.04
Puerto Rico,2
Lebanon,2
Croatia,1.95
Slovenia,1.91
Singapore,1.91
South Africa,1.85
Greece,1.76
Latvia,1.76
Guernsey,1.66
Uruguay,1.65
Czech Republic,1.57
Montenegro,1.47
Saudi Arabia,1.42
Lithuania,1.39
Hungary,1.37
Bosnia And Herzegovina,1.35
South Korea,1.32
Slovakia,1.32
Jamaica,1.31
Brazil,1.31
Kuwait,1.3
Palestine,1.27
Poland,1.26
Costa Rica,1.24
Bulgaria,1.2
Chile,1.17
Thailand,1.17
Trinidad And Tobago,1.17
Mauritius,1.13
Serbia,1.11
Taiwan (China),1.05
Kenya,0.99
North Macedonia,0.95
Jordan,0.94
Malaysia,0.91
Romania,0.89
Nigeria,0.86
Guatemala,0.85
Dominican Republic,0.85
Colombia,0.8
Mexico,0.74
Kosovo (Disputed Territory),0.73
Qatar,0.73
Venezuela,0.67
Morocco,0.65
China,0.58
Iraq,0.56
Ghana,0.56
Libya,0.56
Turkey,0.55
Georgia,0.53
Peru,0.53
Albania,0.52
Russia,0.52
Bangladesh,0.5
Iran,0.47
Panama,0.47
Ecuador,0.47
Belarus,0.45
Indonesia,0.45
Moldova,0.44
India,0.41
Vietnam,0.4
Bolivia,0.38
Ukraine,0.36
Philippines,0.36
Armenia,0.34
Tunisia,0.33
Ethiopia,0.33
Argentina,0.32
Azerbaijan,0.31
Kazakhstan,0.26
Nepal,0.25
Algeria,0.25
Egypt,0.24
Pakistan,0.24
Sri Lanka,0.21
Uzbekistan,0.17